Year,Region,State / County Name,All Ages in Poverty Count,All Ages in Poverty Percent,Median Household Income in Dollars
2013,West,Pasco County (FL),63271,13.5,45454
2012,West,Pasco County (FL),61989,13.4,42695
2011,West,Pasco County (FL),72121,15.7,40859
2010,West,Pasco County (FL),69670,15.2,42184
2009,West,Pasco County (FL),61380,13.2,40289
2008,West,Pasco County (FL),61285,13.2,42407
2007,West,Pasco County (FL),54338,11.9,44233
2006,West,Pasco County (FL),45230,10.2,41700
2005,West,Pasco County (FL),47601,11.3,39327
2004,West,Pasco County (FL),45797,10.8,38065
2003,West,Pasco County (FL),47898,11.9,35386
2002,West,Pasco County (FL),46706,12.1,33433
2001,West,Pasco County (FL),43023,11.7,32916
2000,West,Pasco County (FL),38024,10.8,34233
1999,West,Pasco County (FL),38569,11.3,32048
1998,West,Pasco County (FL),42379,12.8,30035
1997,West,Pasco County (FL),43756,13.5,28202
1996,West,Pasco County (FL),0,0,0
1995,West,Pasco County (FL),44456,14.2,26232
1993,West,Pasco County (FL),43586,14.6,22113
1989,West,Pasco County (FL),32879,11.7,18451
2017,West,Pinellas County (FL),115990,12.2,51488
2016,West,Pinellas County (FL),125923,13.3,49974
2015,West,Pinellas County (FL),127287,13.6,47591
2014,West,Pinellas County (FL),139881,15.2,45162
2013,West,Pinellas County (FL),137942,15.1,43773
2012,West,Pinellas County (FL),127234,14.1,44819
2011,West,Pinellas County (FL),134728,15,42761
2010,West,Pinellas County (FL),127567,14.2,42628
2009,West,Pinellas County (FL),118620,13.3,43200
2008,West,Pinellas County (FL),96869,10.9,45899
2007,West,Pinellas County (FL),101215,11.3,44325
2006,West,Pinellas County (FL),110990,12.3,41960
2005,West,Pinellas County (FL),101259,11.2,40669
2004,West,Pinellas County (FL),101080,11.1,38547
2003,West,Pinellas County (FL),109779,12,36266
2002,West,Pinellas County (FL),103439,11.4,35690
2001,West,Pinellas County (FL),97105,10.7,36435
2000,West,Pinellas County (FL),88723,9.8,37179
1999,West,Pinellas County (FL),93040,10.2,35436
1998,West,Pinellas County (FL),100599,11.6,34741
1997,West,Pinellas County (FL),105737,12.2,32816
1996,West,Pinellas County (FL),0,0,0
1995,West,Pinellas County (FL),111178,12.9,30088
1993,West,Pinellas County (FL),110289,12.8,29284
1989,West,Pinellas County (FL),87463,10.3,24577
2017,Central,Polk County (FL),107844,16.1,48328
2016,Central,Polk County (FL),106703,16.4,46289
2015,Central,Polk County (FL),109907,17.3,44024
2014,Central,Polk County (FL),112539,18.1,42768
2013,Central,Polk County (FL),117893,19.3,42447
2012,Central,Polk County (FL),108784,18.1,41337
2011,Central,Polk County (FL),114618,19.2,40258
2010,Central,Polk County (FL),103277,17.5,41184
2009,Central,Polk County (FL),95938,16.8,41913
2008,Central,Polk County (FL),86702,15.3,44350
2007,Central,Polk County (FL),71881,12.8,44216
2006,Central,Polk County (FL),73442,13.4,41176
2005,Central,Polk County (FL),73142,13.9,39114
2004,Central,Polk County (FL),69999,13.2,36339
2003,Central,Polk County (FL),71587,14,35125
2002,Central,Polk County (FL),67908,13.6,34620
2001,Central,Polk County (FL),67606,13.9,34442
2000,Central,Polk County (FL),63420,13.2,35438
1999,Central,Polk County (FL),65969,13.9,33371
1998,Central,Polk County (FL),70280,15.5,32654
1997,Central,Polk County (FL),74345,16.6,31030
1996,Central,Polk County (FL),0,0,0
1995,Central,Polk County (FL),73866,16.8,29393
1993,Central,Polk County (FL),76333,17.9,26244
1989,Central,Polk County (FL),58488,14.5,22028
2017,Northeast,Putnam County (FL),18954,26.3,34390
2016,Northeast,Putnam County (FL),15220,21.5,37526
2015,Northeast,Putnam County (FL),19291,27.3,32351
2014,Northeast,Putnam County (FL),20167,28.5,32054
2013,Northeast,Putnam County (FL),19084,26.9,32852
2012,Northeast,Putnam County (FL),18445,25.7,33593
2011,Northeast,Putnam County (FL),20254,27.9,31150
2010,Northeast,Putnam County (FL),19414,26.7,33300
2009,Northeast,Putnam County (FL),18380,25.6,31492
2008,Northeast,Putnam County (FL),16680,23.1,35168
2007,Northeast,Putnam County (FL),14650,20.2,33282
2006,Northeast,Putnam County (FL),16086,22.1,31755
2005,Northeast,Putnam County (FL),15013,20.9,30958
2004,Northeast,Putnam County (FL),12544,17.3,30098
2003,Northeast,Putnam County (FL),13436,18.8,28664
2002,Northeast,Putnam County (FL),13660,19.3,27191
2001,Northeast,Putnam County (FL),13755,19.7,27095
2000,Northeast,Putnam County (FL),13280,19.1,27839
1999,Northeast,Putnam County (FL),13381,19.2,26869
1998,Northeast,Putnam County (FL),14655,21,26121
1997,Northeast,Putnam County (FL),15431,22.1,25318
1996,Northeast,Putnam County (FL),0,0,0
1995,Northeast,Putnam County (FL),16846,24.2,24590
1993,Northeast,Putnam County (FL),16633,24.3,21751
1989,Northeast,Putnam County (FL),13038,20.1,18783
2017,Northeast,St. Johns County (FL),20118,8.3,77022
2016,Northeast,St. Johns County (FL),17838,7.7,78544
2015,Northeast,St. Johns County (FL),22001,9.8,71896
2014,Northeast,St. Johns County (FL),17572,8.2,66560
2013,Northeast,St. Johns County (FL),19822,9.6,66312
2012,Northeast,St. Johns County (FL),18967,9.5,62112
2011,Northeast,St. Johns County (FL),18132,9.4,63299
2010,Northeast,St. Johns County (FL),22672,12,60841
2009,Northeast,St. Johns County (FL),16183,8.7,62180
2008,Northeast,St. Johns County (FL),14209,7.9,67238
2007,Northeast,St. Johns County (FL),11635,6.7,63728
2006,Northeast,St. Johns County (FL),12709,7.6,58306
2005,Northeast,St. Johns County (FL),11880,7.5,57277
2004,Northeast,St. Johns County (FL),11976,7.5,55712
2003,Northeast,St. Johns County (FL),12267,8.2,52758
2002,Northeast,St. Johns County (FL),10572,7.5,51587
2001,Northeast,St. Johns County (FL),10451,7.8,50737
2000,Northeast,St. Johns County (FL),9312,7.3,52244
1999,Northeast,St. Johns County (FL),9926,8.2,48732
1998,Northeast,St. Johns County (FL),10146,8.5,45345
1997,Northeast,St. Johns County (FL),10797,9.4,42857
1996,Northeast,St. Johns County (FL),0,0,0
1995,Northeast,St. Johns County (FL),11411,10.6,39519
1993,Northeast,St. Johns County (FL),11518,11.8,33007
1989,Northeast,St. Johns County (FL),8426,10.2,27106
2017,Southeast,St. Lucie County (FL),39839,12.8,49995
2016,Southeast,St. Lucie County (FL),51657,17,45509
2015,Southeast,St. Lucie County (FL),48570,16.4,45918
2014,Southeast,St. Lucie County (FL),49752,17.3,42722
2013,Southeast,St. Lucie County (FL),53893,19,42825
2012,Southeast,St. Lucie County (FL),49151,17.5,41934
2011,Southeast,St. Lucie County (FL),56387,20.3,41384
2010,Southeast,St. Lucie County (FL),48578,17.6,39378
2009,Southeast,St. Lucie County (FL),41047,15.6,44545
2008,Southeast,St. Lucie County (FL),33941,12.9,44788
2007,Southeast,St. Lucie County (FL),27776,10.8,46127
2006,Southeast,St. Lucie County (FL),31585,12.6,44466
2005,Southeast,St. Lucie County (FL),29134,12.3,42048
2004,Southeast,St. Lucie County (FL),27082,11.3,39377
2003,Southeast,St. Lucie County (FL),28970,12.9,37407
2002,Southeast,St. Lucie County (FL),26969,12.8,35990
2001,Southeast,St. Lucie County (FL),26534,13.1,35168
2000,Southeast,St. Lucie County (FL),24404,12.5,36172
1999,Southeast,St. Lucie County (FL),25728,13.5,33427
1998,Southeast,St. Lucie County (FL),26693,14.7,31625
1997,Southeast,St. Lucie County (FL),27105,15.1,30788
1996,Southeast,St. Lucie County (FL),0,0,0
1995,Southeast,St. Lucie County (FL),27174,15.4,30392
1993,Southeast,St. Lucie County (FL),27025,15.9,26455
1989,Southeast,St. Lucie County (FL),19683,13.1,22591
2017,Northwest,Santa Rosa County (FL),17183,10.2,65434
2016,Northwest,Santa Rosa County (FL),17308,10.6,62668
2015,Northwest,Santa Rosa County (FL),19681,12.3,59289
2014,Northwest,Santa Rosa County (FL),17564,11.2,58587
2013,Northwest,Santa Rosa County (FL),21291,13.8,54876
2012,Northwest,Santa Rosa County (FL),18676,12.3,59854
2011,Northwest,Santa Rosa County (FL),16848,11.3,53155
2010,Northwest,Santa Rosa County (FL),18609,12.6,51208
2009,Northwest,Santa Rosa County (FL),16912,11.4,53419
2008,Northwest,Santa Rosa County (FL),15552,10.6,54174
2007,Northwest,Santa Rosa County (FL),15391,10.7,50935
2006,Northwest,Santa Rosa County (FL),15260,10.8,52453
2005,Northwest,Santa Rosa County (FL),12586,9,47005
2004,Northwest,Santa Rosa County (FL),13459,9.6,46298
2003,Northwest,Santa Rosa County (FL),13596,10,44636
2002,Northwest,Santa Rosa County (FL),12827,9.8,43115
2001,Northwest,Santa Rosa County (FL),12904,10.3,42051
2000,Northwest,Santa Rosa County (FL),11828,9.9,42626
1999,Northwest,Santa Rosa County (FL),12157,10.5,40646
1998,Northwest,Santa Rosa County (FL),13734,11.3,39110
1997,Northwest,Santa Rosa County (FL),13912,11.8,37201
1996,Northwest,Santa Rosa County (FL),0,0,0
1995,Northwest,Santa Rosa County (FL),13410,12.2,36537
1993,Northwest,Santa Rosa County (FL),12602,12.6,31995
1989,Northwest,Santa Rosa County (FL),9378,11.5,26352
2017,West,Sarasota County (FL),38065,9.2,58423
2016,West,Sarasota County (FL),43904,10.8,55088
2015,West,Sarasota County (FL),38874,9.7,55882
2014,West,Sarasota County (FL),42343,10.8,52109
2013,West,Sarasota County (FL),49989,13,48717
2012,West,Sarasota County (FL),48338,12.7,48239
2011,West,Sarasota County (FL),44010,11.7,47457
2010,West,Sarasota County (FL),48896,13.1,46047
2009,West,Sarasota County (FL),46001,12.7,45953
2008,West,Sarasota County (FL),36035,9.9,49001
2007,West,Sarasota County (FL),29677,8.1,50031
2006,West,Sarasota County (FL),32806,9,48626
2005,West,Sarasota County (FL),32621,9.1,44789
2004,West,Sarasota County (FL),27571,7.6,44023
2003,West,Sarasota County (FL),29367,8.4,42355
2002,West,Sarasota County (FL),28687,8.4,41360
2001,West,Sarasota County (FL),28158,8.4,41312
2000,West,Sarasota County (FL),23817,7.3,42265
1999,West,Sarasota County (FL),23991,7.5,40501
1998,West,Sarasota County (FL),25111,8.2,39676
1997,West,Sarasota County (FL),26344,8.7,37660
1996,West,Sarasota County (FL),0,0,0
1995,West,Sarasota County (FL),27289,9.2,34448
1993,West,Sarasota County (FL),29009,9.9,30710
1989,West,Sarasota County (FL),18994,6.8,27947
2017,Central,Seminole County (FL),51321,11.2,63865
2016,Central,Seminole County (FL),51750,11.4,61253
2015,Central,Seminole County (FL),51205,11.5,57357
2014,Central,Seminole County (FL),51782,11.8,56443
2013,Central,Seminole County (FL),55555,12.9,55195
2012,Central,Seminole County (FL),53737,12.6,54901
2011,Central,Seminole County (FL),48594,11.5,54449
2010,Central,Seminole County (FL),46071,11,57381
2009,Central,Seminole County (FL),42537,10.4,56201
2008,Central,Seminole County (FL),37905,9.3,58175
2007,Central,Seminole County (FL),36822,9.1,56315
2006,Central,Seminole County (FL),38932,9.6,56655
2005,Central,Seminole County (FL),32700,8.2,52390
2004,Central,Seminole County (FL),33878,8.5,50842
2003,Central,Seminole County (FL),35215,9.1,49267
2002,Central,Seminole County (FL),31440,8.2,48957
2001,Central,Seminole County (FL),30082,8,49287
2000,Central,Seminole County (FL),27536,7.4,50122
1999,Central,Seminole County (FL),29178,8,46559
1998,Central,Seminole County (FL),31514,8.8,44113
1997,Central,Seminole County (FL),34512,9.8,43061
1996,Central,Seminole County (FL),0,0,0
1995,Central,Seminole County (FL),33444,9.9,41428
1993,Central,Seminole County (FL),32412,9.9,37574
1989,Central,Seminole County (FL),20107,7,33906
2017,Central,Sumter County (FL),10672,9.1,57931
2016,Central,Sumter County (FL),12115,10.5,56568
2015,Central,Sumter County (FL),11178,10.1,54592
2014,Central,Sumter County (FL),11528,10.9,51907
2013,Central,Sumter County (FL),11785,12,52670
2012,Central,Sumter County (FL),12745,13.7,47017
2011,Central,Sumter County (FL),12839,14.5,44595
2010,Central,Sumter County (FL),11035,13,45165
2009,Central,Sumter County (FL),10451,15.6,46586
2008,Central,Sumter County (FL),8446,13.2,48106
2007,Central,Sumter County (FL),7980,12.9,42828
2006,Central,Sumter County (FL),7749,13.1,42459
2005,Central,Sumter County (FL),7907,14.4,36194
2004,Central,Sumter County (FL),6913,12.5,37523
2003,Central,Sumter County (FL),6817,13.1,34044
2002,Central,Sumter County (FL),7537,15,31673
2001,Central,Sumter County (FL),7640,15.4,30559
2000,Central,Sumter County (FL),7129,14.9,31730
1999,Central,Sumter County (FL),6789,14.4,30090
1998,Central,Sumter County (FL),7339,19.2,27360
1997,Central,Sumter County (FL),7922,21.4,25601
1996,Central,Sumter County (FL),0,0,0
1995,Central,Sumter County (FL),7790,22.4,24024
1993,Central,Sumter County (FL),7015,21.7,20055
1989,Central,Sumter County (FL),5977,19.7,17208
2017,Northeast,Suwannee County (FL),8299,20.3,44144
2016,Northeast,Suwannee County (FL),8244,20.4,40572
2015,Northeast,Suwannee County (FL),9499,23.6,37368
2014,Northeast,Suwannee County (FL),9559,23.7,38177
2013,Northeast,Suwannee County (FL),9896,24.6,35666
2012,Northeast,Suwannee County (FL),11303,28.1,34434
2011,Northeast,Suwannee County (FL),9989,24.7,34947
2010,Northeast,Suwannee County (FL),8366,20.9,39259
2009,Northeast,Suwannee County (FL),7749,19.7,34372
2008,Northeast,Suwannee County (FL),7783,19.9,34427
2007,Northeast,Suwannee County (FL),6930,17.8,36054
2006,Northeast,Suwannee County (FL),7026,18.1,32847
2005,Northeast,Suwannee County (FL),6598,17.5,33114
2004,Northeast,Suwannee County (FL),5805,15.3,31744
2003,Northeast,Suwannee County (FL),6106,16.5,29523
2002,Northeast,Suwannee County (FL),6092,16.9,28756
2001,Northeast,Suwannee County (FL),6207,17.5,28907
2000,Northeast,Suwannee County (FL),5684,16.3,30044
1999,Northeast,Suwannee County (FL),5392,15.7,28476
1998,Northeast,Suwannee County (FL),5588,17,27229
1997,Northeast,Suwannee County (FL),5893,18.2,26070
1996,Northeast,Suwannee County (FL),0,0,0
1995,Northeast,Suwannee County (FL),6127,19.1,25175
1993,Northeast,Suwannee County (FL),5697,19.3,21782
1989,Northeast,Suwannee County (FL),4893,18.4,19118
2017,Northeast,Taylor County (FL),4556,23.8,41557
2016,Northeast,Taylor County (FL),4291,22.5,40180
2015,Northeast,Taylor County (FL),4061,21.2,39116
2014,Northeast,Taylor County (FL),4475,23.4,36374
2013,Northeast,Taylor County (FL),4583,23.9,38370
2012,Northeast,Taylor County (FL),4617,24.2,36257
2011,Northeast,Taylor County (FL),4391,22.7,33863
2010,Northeast,Taylor County (FL),3968,20.6,35343
2009,Northeast,Taylor County (FL),4303,23.8,34240
2008,Northeast,Taylor County (FL),4174,22.9,36349
2007,Northeast,Taylor County (FL),3391,18.5,38056
2006,Northeast,Taylor County (FL),3764,20.6,34900
2005,Northeast,Taylor County (FL),3329,18.4,32680
2004,Northeast,Taylor County (FL),2872,15.9,31784
2003,Northeast,Taylor County (FL),3010,16.9,30871
2002,Northeast,Taylor County (FL),3102,17.3,30186
2001,Northeast,Taylor County (FL),3234,18.1,29804
2000,Northeast,Taylor County (FL),3178,17.8,30702
1999,Northeast,Taylor County (FL),3205,17.8,29165
1998,Northeast,Taylor County (FL),3704,20.4,28824
1997,Northeast,Taylor County (FL),3956,22,27354
1996,Northeast,Taylor County (FL),0,0,0
1995,Northeast,Taylor County (FL),3773,21.2,25912
1993,Northeast,Taylor County (FL),3627,20.6,23355
1989,Northeast,Taylor County (FL),3059,17.7,20775
2017,Northeast,Union County (FL),2291,22.2,47373
2016,Northeast,Union County (FL),2512,24.7,43795
2015,Northeast,Union County (FL),2710,26.2,41078
2014,Northeast,Union County (FL),2515,24.3,40207
2013,Northeast,Union County (FL),2463,23.8,40841
2012,Northeast,Union County (FL),2711,26.2,39486
2011,Northeast,Union County (FL),2676,25.3,40743
2010,Northeast,Union County (FL),2604,24.3,40523
2009,Northeast,Union County (FL),2612,26.5,38077
2008,Northeast,Union County (FL),2294,23.6,42734
2007,Northeast,Union County (FL),2070,21.5,41124
2006,Northeast,Union County (FL),1900,19.4,37740
2005,Northeast,Union County (FL),1962,20.3,35592
2004,Northeast,Union County (FL),1770,18.2,33821
2003,Northeast,Union County (FL),1765,18.1,32847
2002,Northeast,Union County (FL),2081,21.3,32429
2001,Northeast,Union County (FL),2042,21.4,32811
2000,Northeast,Union County (FL),1881,19.9,33779
1999,Northeast,Union County (FL),1571,16.8,32242
1998,Northeast,Union County (FL),1790,19.7,31996
1997,Northeast,Union County (FL),2054,23.2,29968
1996,Northeast,Union County (FL),0,0,0
1995,Northeast,Union County (FL),1670,19.4,27882
1993,Northeast,Union County (FL),1691,20.1,25590
1989,Northeast,Union County (FL),1323,16.9,21920
2017,Northeast,Volusia County (FL),79877,15.2,46911
2016,Northeast,Volusia County (FL),73420,14.2,45356
2015,Northeast,Volusia County (FL),82326,16.3,42334
2014,Northeast,Volusia County (FL),87670,17.7,40881
2013,Northeast,Volusia County (FL),81107,16.6,40908
2012,Northeast,Volusia County (FL),95456,19.7,40114
2011,Northeast,Volusia County (FL),84021,17.4,38477
2010,Northeast,Volusia County (FL),79513,16.5,41368
2009,Northeast,Volusia County (FL),73142,15.2,41390
2008,Northeast,Volusia County (FL),62490,12.9,45831
2007,Northeast,Volusia County (FL),68393,14.1,42268
2006,Northeast,Volusia County (FL),62089,12.9,40857
2005,Northeast,Volusia County (FL),54854,11.6,38457
2004,Northeast,Volusia County (FL),53524,11.2,37247
2003,Northeast,Volusia County (FL),56767,12.2,36100
2002,Northeast,Volusia County (FL),55672,12.2,35010
2001,Northeast,Volusia County (FL),53932,12.1,34740
2000,Northeast,Volusia County (FL),48592,11.1,35278
1999,Northeast,Volusia County (FL),49698,11.5,33016
1998,Northeast,Volusia County (FL),54218,12.9,31269
1997,Northeast,Volusia County (FL),58694,14.2,29843
1996,Northeast,Volusia County (FL),0,0,0
1995,Northeast,Volusia County (FL),60255,14.8,28253
1993,Northeast,Volusia County (FL),61454,15.4,26260
1989,Northeast,Volusia County (FL),41195,11.3,21949
2017,Northwest,Wakulla County (FL),3746,12.9,55717
2016,Northwest,Wakulla County (FL),3728,13.1,56158
2015,Northwest,Wakulla County (FL),4623,16.5,48703
2014,Northwest,Wakulla County (FL),4185,15.1,51642
2013,Northwest,Wakulla County (FL),4361,15.9,47430
2012,Northwest,Wakulla County (FL),4416,16.1,46773
2011,Northwest,Wakulla County (FL),4025,14.6,50716
2010,Northwest,Wakulla County (FL),3856,14.1,47566
2009,Northwest,Wakulla County (FL),4186,14.1,48022
2008,Northwest,Wakulla County (FL),3773,13,48012
2007,Northwest,Wakulla County (FL),3169,11.3,46997
2006,Northwest,Wakulla County (FL),3369,12.2,47672
2005,Northwest,Wakulla County (FL),3103,11.8,41863
2004,Northwest,Wakulla County (FL),2743,10.4,39849
2003,Northwest,Wakulla County (FL),2815,11.1,38076
2002,Northwest,Wakulla County (FL),2996,12.2,36732
2001,Northwest,Wakulla County (FL),3055,13,36802
2000,Northwest,Wakulla County (FL),2753,12.2,37761
1999,Northwest,Wakulla County (FL),2581,11.8,36071
1998,Northwest,Wakulla County (FL),2589,13.5,35903
1997,Northwest,Wakulla County (FL),2559,13.7,34492
1996,Northwest,Wakulla County (FL),0,0,0
1995,Northwest,Wakulla County (FL),2513,13.9,33085
1993,Northwest,Wakulla County (FL),2584,15.4,27620
1989,Northwest,Wakulla County (FL),2312,16.3,22011
2017,Northwest,Walton County (FL),10493,15.9,52922
2016,Northwest,Walton County (FL),8331,13.1,54686
2015,Northwest,Walton County (FL),9104,14.8,47875
2014,Northwest,Walton County (FL),9357,15.8,46867
2013,Northwest,Walton County (FL),11147,19.3,45357
2012,Northwest,Walton County (FL),10111,18.2,40239
2011,Northwest,Walton County (FL),7688,14.3,44763
2010,Northwest,Walton County (FL),8759,16.5,44622
2009,Northwest,Walton County (FL),8367,15.8,42854
2008,Northwest,Walton County (FL),7704,14.9,43779
2007,Northwest,Walton County (FL),5974,11.8,45288
2006,Northwest,Walton County (FL),6668,13.3,42115
2005,Northwest,Walton County (FL),6245,13,38799
2004,Northwest,Walton County (FL),5537,11.5,37350
2003,Northwest,Walton County (FL),6268,13.5,34884
2002,Northwest,Walton County (FL),6666,15,32697
2001,Northwest,Walton County (FL),6716,15.8,31719
2000,Northwest,Walton County (FL),6070,14.9,32368
1999,Northwest,Walton County (FL),5621,14.5,30084
1998,Northwest,Walton County (FL),6319,16.9,27971
1997,Northwest,Walton County (FL),6880,18.8,27211
1996,Northwest,Walton County (FL),0,0,0
1995,Northwest,Walton County (FL),6903,19.4,26599
1993,Northwest,Walton County (FL),6013,18.7,23332
1989,Northwest,Walton County (FL),5207,18.6,18251
2017,Northwest,Washington County (FL),4646,21.1,36052
2016,Northwest,Washington County (FL),5026,22.8,34787
2015,Northwest,Washington County (FL),5451,24.8,36328
2014,Northwest,Washington County (FL),4348,20,36482
2013,Northwest,Washington County (FL),5132,23.4,35671
2012,Northwest,Washington County (FL),5003,22.6,36560
2011,Northwest,Washington County (FL),5409,24.3,35004
2010,Northwest,Washington County (FL),4691,21.1,35378
2009,Northwest,Washington County (FL),4490,21,36519
2008,Northwest,Washington County (FL),4948,23.2,34632
2007,Northwest,Washington County (FL),3968,18.9,34535
2006,Northwest,Washington County (FL),4072,19.3,32982
2005,Northwest,Washington County (FL),3855,18.8,31104
2004,Northwest,Washington County (FL),3216,15.5,30138
2003,Northwest,Washington County (FL),3500,17.2,28587
2002,Northwest,Washington County (FL),3617,18,27671
2001,Northwest,Washington County (FL),3772,19,27432
2000,Northwest,Washington County (FL),3640,18.3,28503
1999,Northwest,Washington County (FL),3585,18.2,27371
1998,Northwest,Washington County (FL),3944,20.4,26444
1997,Northwest,Washington County (FL),4257,22.5,25224
1996,Northwest,Washington County (FL),0,0,0
1995,Northwest,Washington County (FL),4138,22.4,24177
1993,Northwest,Washington County (FL),3768,21.2,20842
1989,Northwest,Washington County (FL),3733,22.4,17190